date,day_of_year,brevik_capture_tpd,brevik_capture_tph_avg,celsio_capture_tpd,celsio_capture_tph_avg,yara_sluiskil_capture_tpd,yara_sluiskil_capture_tph_avg,total_capture_tpd,total_capture_tph_avg
2026-01-01,1,895.039478,37.293312,1016.501195,42.354216,2187.673642,91.153068,4099.214315,170.800596
2026-01-02,2,895.035903,37.293163,1016.501195,42.354216,2187.635026,91.151459,4099.172124,170.798838
2026-01-03,3,895.032328,37.293014,1016.501195,42.354216,2187.59641,91.14985,4099.129932,170.797081
2026-01-04,4,895.028753,37.292865,1016.501195,42.354216,2187.557794,91.148241,4099.087741,170.795323
2026-01-05,5,895.025178,37.292716,1016.501195,42.354216,2187.519178,91.146632,4099.04555,170.793565
2026-01-06,6,895.021603,37.292567,1016.501195,42.354216,2187.480562,91.145023,4099.003359,170.791807
2026-01-07,7,895.018028,37.292418,1016.501195,42.354216,2187.441946,91.143414,4098.961168,170.790049
2026-01-08,8,895.014453,37.292269,1016.501195,42.354216,2187.40333,91.141805,4098.918977,170.788291
2026-01-09,9,895.010878,37.29212,1016.501195,42.354216,2187.364713,91.140196,4098.876786,170.786533
2026-01-10,10,895.007303,37.291971,1016.501195,42.354216,2187.326097,91.138587,4098.834595,170.784775
2026-01-11,11,895.003727,37.291822,1016.501195,42.354216,2187.287481,91.136978,4098.792404,170.783017
2026-01-12,12,895.000152,37.291673,1016.501195,42.354216,2187.248865,91.135369,4098.750213,170.781259
2026-01-13,13,894.996577,37.291524,1016.501195,42.354216,2187.210249,91.13376,4098.708022,170.779501
2026-01-14,14,894.993002,37.291375,1016.501195,42.354216,2187.171633,91.132151,4098.665831,170.777743
2026-01-15,15,894.989427,37.291226,1016.501195,42.354216,2187.133017,91.130542,4098.623639,170.775985
2026-01-16,16,895.23134,37.301306,1016.501195,42.354216,2187.297597,91.1374,4099.030131,170.792922
2026-01-17,17,896.946176,37.372757,1016.501195,42.354216,2188.681351,91.195056,4102.128722,170.92203
2026-01-18,18,898.9065,37.454437,1016.501195,42.354216,2190.2683,91.261179,4105.675995,171.069833
