month,brevik_tco2,celsio_tco2,yara_sluiskil_tco2,matched_total_tco2,notes
2021-04,30277.889,,215850.247,246128.137,Celsio source-level Climate TRACE match not found
2021-05,31287.152,,223045.256,254332.408,Celsio source-level Climate TRACE match not found
2021-06,30277.889,,215850.247,246128.137,Celsio source-level Climate TRACE match not found
2021-07,31287.152,,223045.256,254332.408,Celsio source-level Climate TRACE match not found
2021-08,31287.152,,223045.256,254332.408,Celsio source-level Climate TRACE match not found
2021-09,27679.865,,215850.247,243530.112,Celsio source-level Climate TRACE match not found
2021-10,28294.981,,223045.256,251340.237,Celsio source-level Climate TRACE match not found
2021-11,17207.847,,215850.247,233058.095,Celsio source-level Climate TRACE match not found
2021-12,17781.442,,223045.256,240826.698,Celsio source-level Climate TRACE match not found
2022-01,17781.442,,223045.256,240826.698,Celsio source-level Climate TRACE match not found
2022-02,16060.657,,201460.231,217520.888,Celsio source-level Climate TRACE match not found
2022-03,31084.038,,223045.256,254129.294,Celsio source-level Climate TRACE match not found
2022-04,27567.376,,215850.247,243417.623,Celsio source-level Climate TRACE match not found
2022-05,1581.154,,223045.256,224626.409,Celsio source-level Climate TRACE match not found
2022-06,27402.257,,215850.247,243252.505,Celsio source-level Climate TRACE match not found
2022-07,29088.593,,223045.256,252133.848,Celsio source-level Climate TRACE match not found
2022-08,28547.819,,223045.256,251593.074,Celsio source-level Climate TRACE match not found
2022-09,27544.365,,215850.247,243394.612,Celsio source-level Climate TRACE match not found
2022-10,12504.094,,223045.256,235549.35,Celsio source-level Climate TRACE match not found
2022-11,21490.239,,215850.247,237340.487,Celsio source-level Climate TRACE match not found
2022-12,22206.581,,223045.256,245251.836,Celsio source-level Climate TRACE match not found
2023-01,22206.581,,223045.256,245251.836,Celsio source-level Climate TRACE match not found
2023-02,28602.284,,201460.231,230062.515,Celsio source-level Climate TRACE match not found
2023-03,28101.032,,223045.256,251146.287,Celsio source-level Climate TRACE match not found
2023-04,31016.231,,215850.247,246866.478,Celsio source-level Climate TRACE match not found
2023-05,28283.341,,223045.256,251328.597,Celsio source-level Climate TRACE match not found
2023-06,27819.028,,215850.247,243669.275,Celsio source-level Climate TRACE match not found
2023-07,28842.292,,223045.256,251887.548,Celsio source-level Climate TRACE match not found
2023-08,28144.265,,223045.256,251189.521,Celsio source-level Climate TRACE match not found
2023-09,17307.253,,215850.247,233157.5,Celsio source-level Climate TRACE match not found
2023-10,32741.927,,223045.256,255787.183,Celsio source-level Climate TRACE match not found
2023-11,21537.476,,215850.247,237387.724,Celsio source-level Climate TRACE match not found
2023-12,22255.392,,223045.256,245300.648,Celsio source-level Climate TRACE match not found
2024-01,22194.585,,222435.842,244630.428,Celsio source-level Climate TRACE match not found
2024-02,12929.563,,208085.143,221014.706,Celsio source-level Climate TRACE match not found
2024-03,13624.639,,222435.842,236060.481,Celsio source-level Climate TRACE match not found
2024-04,27686.555,,215260.493,242947.048,Celsio source-level Climate TRACE match not found
2024-05,29084.596,,222435.842,251520.438,Celsio source-level Climate TRACE match not found
2024-06,27695.783,,215260.493,242956.275,Celsio source-level Climate TRACE match not found
2024-07,1264.534,,222435.842,223700.377,Celsio source-level Climate TRACE match not found
2024-08,28419.775,,222435.842,250855.617,Celsio source-level Climate TRACE match not found
2024-09,27971.16,,215260.493,243231.653,Celsio source-level Climate TRACE match not found
2024-10,32123.817,,222435.842,254559.659,Celsio source-level Climate TRACE match not found
2024-11,17201.21,,215260.493,232461.702,Celsio source-level Climate TRACE match not found
2024-12,17774.583,,222435.842,240210.426,Celsio source-level Climate TRACE match not found
2025-01,17823.281,,222435.842,240259.123,Celsio source-level Climate TRACE match not found
2025-02,16075.953,,208085.143,224161.096,Celsio source-level Climate TRACE match not found
2025-03,31307.614,,222435.842,253743.456,Celsio source-level Climate TRACE match not found
2025-04,17248.029,,215260.493,232508.522,Celsio source-level Climate TRACE match not found
2025-05,17809.334,,222435.842,240245.177,Celsio source-level Climate TRACE match not found
2025-06,27753.558,,215260.493,243014.051,Celsio source-level Climate TRACE match not found
2025-07,28791.99,,222435.842,251227.832,Celsio source-level Climate TRACE match not found
2025-08,17801.199,,222435.842,240237.042,Celsio source-level Climate TRACE match not found
2025-09,27199.196,,215260.493,242459.688,Celsio source-level Climate TRACE match not found
2025-10,28149.069,,222435.842,250584.911,Celsio source-level Climate TRACE match not found
2025-11,27643.732,,215260.493,242904.224,Celsio source-level Climate TRACE match not found
2025-12,17781.442,,222435.842,240217.284,Celsio source-level Climate TRACE match not found
2026-01,17781.442,,222435.842,240217.284,Celsio source-level Climate TRACE match not found
2026-02,20362.646,,208085.143,228447.789,Celsio source-level Climate TRACE match not found
2026-03,12595.45,,222435.842,235031.292,Celsio source-level Climate TRACE match not found
